TagName;DateTime;Value;vValue;MinRaw;MaxRaw;MinEU;MaxEU;Unit;Quality;QualityDetail;QualityString;wwResolution;StartDateTime
T400_SP;2024-09-23 14:20:00.0000000;(null);(null);0;90;0;90;°C;1;20;IDAS overflow recovery;33333;23/09/2024 14:19:26
T400_PV;2024-09-23 14:20:00.0000000;22.0300006866455;22.030000686645508;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:19:26
T200_PV;2024-09-23 14:20:00.0000000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:19:26
T151_PV;2024-09-23 14:20:00.0000000;23.2000007629395;23.200000762939453;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:19:26
T150_PV;2024-09-23 14:20:00.0000000;22.6000003814697;22.600000381469727;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:19:26
SysReplicationTotalTags1;2024-09-23 14:20:00.0000000;0;0;0;2e+011;0;2e+011;units;0;192;Good;33333;23/09/2024 14:19:26
Q210_PV;2024-09-23 14:20:00.0000000;(null);(null);0;2000;0;2000;µS/cm;1;24;IOServer communication failed;33333;23/09/2024 14:19:26
P120_PV;2024-09-23 14:20:00.0000000;(null);(null);0;300;0;300;rpm;1;24;IOServer communication failed;33333;23/09/2024 14:19:26
P120_Flow;2024-09-23 14:20:00.0000000;(null);(null);0;2000;0;2000;ml/min;1;24;IOServer communication failed;33333;23/09/2024 14:19:26
P100_FlowR;2024-09-23 14:20:00.0000000;1.75999999046326;1.7599999904632568;0;100;0;100;ml;0;192;Good;33333;23/09/2024 14:19:26
P100_Flow;2024-09-23 14:20:00.0000000;180.442031860352;180.44203186035156;0;2000;0;2000;ml/min;0;192;Good;33333;23/09/2024 14:19:26
T400_SP;2024-09-23 14:20:33.3330000;(null);(null);0;90;0;90;°C;1;20;IDAS overflow recovery;33333;23/09/2024 14:20:00
T400_PV;2024-09-23 14:20:33.3330000;22.0300006866455;22.030000686645508;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:20:00
T200_PV;2024-09-23 14:20:33.3330000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:20:00
T151_PV;2024-09-23 14:20:33.3330000;23.5;23.5;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:20:00
T150_PV;2024-09-23 14:20:33.3330000;22.6000003814697;22.600000381469727;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:20:00
SysReplicationTotalTags1;2024-09-23 14:20:33.3330000;0;0;0;2e+011;0;2e+011;units;0;192;Good;33333;23/09/2024 14:20:00
Q210_PV;2024-09-23 14:20:33.3330000;(null);(null);0;2000;0;2000;µS/cm;1;24;IOServer communication failed;33333;23/09/2024 14:20:00
P120_PV;2024-09-23 14:20:33.3330000;(null);(null);0;300;0;300;rpm;1;24;IOServer communication failed;33333;23/09/2024 14:20:00
P120_Flow;2024-09-23 14:20:33.3330000;(null);(null);0;2000;0;2000;ml/min;1;24;IOServer communication failed;33333;23/09/2024 14:20:00
P100_FlowR;2024-09-23 14:20:33.3330000;1.75999999046326;1.7599999904632568;0;100;0;100;ml;0;192;Good;33333;23/09/2024 14:20:00
P100_Flow;2024-09-23 14:20:33.3330000;178.089416503906;178.08941650390625;0;2000;0;2000;ml/min;0;192;Good;33333;23/09/2024 14:20:00
T400_SP;2024-09-23 14:21:06.6660000;(null);(null);0;90;0;90;°C;1;20;IDAS overflow recovery;33333;23/09/2024 14:20:33
T400_PV;2024-09-23 14:21:06.6660000;22.0300006866455;22.030000686645508;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:20:33
T200_PV;2024-09-23 14:21:06.6660000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:20:33
T151_PV;2024-09-23 14:21:06.6660000;23.5;23.5;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:20:33
T150_PV;2024-09-23 14:21:06.6660000;22.6000003814697;22.600000381469727;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:20:33
SysReplicationTotalTags1;2024-09-23 14:21:06.6660000;0;0;0;2e+011;0;2e+011;units;0;192;Good;33333;23/09/2024 14:20:33
Q210_PV;2024-09-23 14:21:06.6660000;(null);(null);0;2000;0;2000;µS/cm;1;24;IOServer communication failed;33333;23/09/2024 14:20:33
P120_PV;2024-09-23 14:21:06.6660000;(null);(null);0;300;0;300;rpm;1;24;IOServer communication failed;33333;23/09/2024 14:20:33
P120_Flow;2024-09-23 14:21:06.6660000;(null);(null);0;2000;0;2000;ml/min;1;24;IOServer communication failed;33333;23/09/2024 14:20:33
P100_FlowR;2024-09-23 14:21:06.6660000;1.75999999046326;1.7599999904632568;0;100;0;100;ml;0;192;Good;33333;23/09/2024 14:20:33
P100_Flow;2024-09-23 14:21:06.6660000;178.057189941406;178.05718994140625;0;2000;0;2000;ml/min;0;192;Good;33333;23/09/2024 14:20:33
T400_SP;2024-09-23 14:21:39.9990000;(null);(null);0;90;0;90;°C;1;20;IDAS overflow recovery;33333;23/09/2024 14:21:06
T400_PV;2024-09-23 14:21:39.9990000;22.0300006866455;22.030000686645508;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:21:06
T200_PV;2024-09-23 14:21:39.9990000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:21:06
T151_PV;2024-09-23 14:21:39.9990000;23.5;23.5;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:21:06
T150_PV;2024-09-23 14:21:39.9990000;22.6000003814697;22.600000381469727;0;150;0;150;°C;0;192;Good;33333;23/09/2024 14:21:06
SysReplicationTotalTags1;2024-09-23 14:21:39.9990000;0;0;0;2e+011;0;2e+011;units;0;192;Good;33333;23/09/2024 14:21:06
Q210_PV;2024-09-23 14:21:39.9990000;(null);(null);0;2000;0;2000;µS/cm;1;24;IOServer communication failed;33333;23/09/2024 14:21:06
P120_PV;2024-09-23 14:21:39.9990000;(null);(null);0;300;0;300;rpm;1;24;IOServer communication failed;33333;23/09/2024 14:21:06
