TagName;DateTime;Value;vValue;MinRaw;MaxRaw;MinEU;MaxEU;Unit;Quality;QualityDetail;QualityString;wwResolution;StartDateTime
T400_SP;2024-09-16 15:11:02.0000000;27;27;0;90;0;90;°C;0;192;Good;23030;16/09/2024 15:10:38
T400_PV;2024-09-16 15:11:02.0000000;26;26;0;150;0;150;°C;0;192;Good;23030;16/09/2024 15:10:38
T200_PV;2024-09-16 15:11:02.0000000;27.2999992370605;27.299999237060547;0;150;0;150;°C;0;192;Good;23030;16/09/2024 15:10:38
T151_PV;2024-09-16 15:11:02.0000000;27.6000003814697;27.600000381469727;0;150;0;150;°C;0;192;Good;23030;16/09/2024 15:10:38
T150_PV;2024-09-16 15:11:02.0000000;26.6000003814697;26.600000381469727;0;150;0;150;°C;0;192;Good;23030;16/09/2024 15:10:38
SysReplicationTotalTags1;2024-09-16 15:11:02.0000000;0;0;0;2e+011;0;2e+011;units;0;192;Good;23030;16/09/2024 15:10:38
Q210_PV;2024-09-16 15:11:02.0000000;50;50;0;2000;0;2000;µS/cm;0;192;Good;23030;16/09/2024 15:10:38
P120_PV;2024-09-16 15:11:02.0000000;0;0;0;300;0;300;rpm;0;192;Good;23030;16/09/2024 15:10:38
P120_Flow;2024-09-16 15:11:02.0000000;0;0;0;2000;0;2000;ml/min;0;192;Good;23030;16/09/2024 15:10:38
P100_PV;2024-09-16 15:11:02.0000000;101.333656311035;101.33365631103516;0;300;0;300;rpm;0;192;Good;23030;16/09/2024 15:10:38
P100_Flow;2024-09-16 15:11:02.0000000;184.160659790039;184.16065979003906;0;2000;0;2000;ml/min;0;192;Good;23030;16/09/2024 15:10:38
T400_SP;2024-09-16 15:11:25.0300000;27;27;0;90;0;90;°C;0;192;Good;23030;16/09/2024 15:11:02
T400_PV;2024-09-16 15:11:25.0300000;26;26;0;150;0;150;°C;0;192;Good;23030;16/09/2024 15:11:02
T200_PV;2024-09-16 15:11:25.0300000;27.2999992370605;27.299999237060547;0;150;0;150;°C;0;192;Good;23030;16/09/2024 15:11:02
T151_PV;2024-09-16 15:11:25.0300000;27.8999996185303;27.899999618530273;0;150;0;150;°C;0;192;Good;23030;16/09/2024 15:11:02
T150_PV;2024-09-16 15:11:25.0300000;26.6000003814697;26.600000381469727;0;150;0;150;°C;0;192;Good;23030;16/09/2024 15:11:02
SysReplicationTotalTags1;2024-09-16 15:11:25.0300000;0;0;0;2e+011;0;2e+011;units;0;192;Good;23030;16/09/2024 15:11:02
Q210_PV;2024-09-16 15:11:25.0300000;49;49;0;2000;0;2000;µS/cm;0;192;Good;23030;16/09/2024 15:11:02
P120_PV;2024-09-16 15:11:25.0300000;0;0;0;300;0;300;rpm;0;192;Good;23030;16/09/2024 15:11:02
P120_Flow;2024-09-16 15:11:25.0300000;0;0;0;2000;0;2000;ml/min;0;192;Good;23030;16/09/2024 15:11:02
P100_PV;2024-09-16 15:11:25.0300000;101.31534576416;101.31534576416016;0;300;0;300;rpm;0;192;Good;23030;16/09/2024 15:11:02
P100_Flow;2024-09-16 15:11:25.0300000;183.7607421875;183.7607421875;0;2000;0;2000;ml/min;0;192;Good;23030;16/09/2024 15:11:02
