TagName;DateTime;Value;vValue;MinRaw;MaxRaw;MinEU;MaxEU;Unit;Quality;QualityDetail;QualityString;wwResolution;StartDateTime
T400_PV;2024-10-02 11:02:00.0000000;24.8700008392334;24.870000839233398;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:01:35
T200_PV;2024-10-02 11:02:00.0000000;23.6000003814697;23.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:01:35
T151_PV;2024-10-02 11:02:00.0000000;25.8999996185303;25.899999618530273;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:01:35
T150_PV;2024-10-02 11:02:00.0000000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:01:35
SysReplicationTotalTags1;2024-10-02 11:02:00.0000000;0;0;0;2e+011;0;2e+011;units;0;192;Good;24848;02/10/2024 11:01:35
Q210_PV;2024-10-02 11:02:00.0000000;812.952026367188;812.9520263671875;0;2e+006;0;2e+006;µS/cm;0;192;Good;24848;02/10/2024 11:01:35
P120_PV;2024-10-02 11:02:00.0000000;0;0;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:01:35
P120_Flow;2024-10-02 11:02:00.0000000;0;0;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:01:35
P100_PV;2024-10-02 11:02:00.0000000;153.062530517578;153.06253051757812;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:01:35
P100_Flow;2024-10-02 11:02:00.0000000;272.712036132813;272.7120361328125;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:01:35
T400_PV;2024-10-02 11:02:24.8480000;24.8700008392334;24.870000839233398;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:02:00
T200_PV;2024-10-02 11:02:24.8480000;23.6000003814697;23.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:02:00
T151_PV;2024-10-02 11:02:24.8480000;25.8999996185303;25.899999618530273;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:02:00
T150_PV;2024-10-02 11:02:24.8480000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:02:00
SysReplicationTotalTags1;2024-10-02 11:02:24.8480000;0;0;0;2e+011;0;2e+011;units;0;192;Good;24848;02/10/2024 11:02:00
Q210_PV;2024-10-02 11:02:24.8480000;812.952026367188;812.9520263671875;0;2e+006;0;2e+006;µS/cm;0;192;Good;24848;02/10/2024 11:02:00
P120_PV;2024-10-02 11:02:24.8480000;0;0;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:02:00
P120_Flow;2024-10-02 11:02:24.8480000;0;0;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:02:00
P100_PV;2024-10-02 11:02:24.8480000;153.062530517578;153.06253051757812;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:02:00
P100_Flow;2024-10-02 11:02:24.8480000;272.22314453125;272.22314453125;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:02:00
T400_PV;2024-10-02 11:02:49.6960000;24.8700008392334;24.870000839233398;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:02:24
T200_PV;2024-10-02 11:02:49.6960000;23.6000003814697;23.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:02:24
T151_PV;2024-10-02 11:02:49.6960000;25.8999996185303;25.899999618530273;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:02:24
T150_PV;2024-10-02 11:02:49.6960000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:02:24
SysReplicationTotalTags1;2024-10-02 11:02:49.6960000;0;0;0;2e+011;0;2e+011;units;0;192;Good;24848;02/10/2024 11:02:24
Q210_PV;2024-10-02 11:02:49.6960000;810.937805175781;810.93780517578125;0;2e+006;0;2e+006;µS/cm;0;192;Good;24848;02/10/2024 11:02:24
P120_PV;2024-10-02 11:02:49.6960000;0;0;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:02:24
P120_Flow;2024-10-02 11:02:49.6960000;0;0;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:02:24
P100_PV;2024-10-02 11:02:49.6960000;152.055419921875;152.055419921875;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:02:24
P100_Flow;2024-10-02 11:02:49.6960000;271.799407958984;271.79940795898437;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:02:24
T400_PV;2024-10-02 11:03:14.5440000;24.8700008392334;24.870000839233398;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:02:49
T200_PV;2024-10-02 11:03:14.5440000;23.6000003814697;23.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:02:49
T151_PV;2024-10-02 11:03:14.5440000;25.8999996185303;25.899999618530273;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:02:49
T150_PV;2024-10-02 11:03:14.5440000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:02:49
SysReplicationTotalTags1;2024-10-02 11:03:14.5440000;0;0;0;2e+011;0;2e+011;units;0;192;Good;24848;02/10/2024 11:02:49
Q210_PV;2024-10-02 11:03:14.5440000;810.815734863281;810.81573486328125;0;2e+006;0;2e+006;µS/cm;0;192;Good;24848;02/10/2024 11:02:49
P120_PV;2024-10-02 11:03:14.5440000;0;0;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:02:49
P120_Flow;2024-10-02 11:03:14.5440000;0;0;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:02:49
P100_PV;2024-10-02 11:03:14.5440000;151.084930419922;151.08493041992187;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:02:49
P100_Flow;2024-10-02 11:03:14.5440000;269.778625488281;269.77862548828125;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:02:49
T400_PV;2024-10-02 11:03:39.3920000;24.8700008392334;24.870000839233398;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:03:14
T200_PV;2024-10-02 11:03:39.3920000;23.6000003814697;23.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:03:14
T151_PV;2024-10-02 11:03:39.3920000;25.8999996185303;25.899999618530273;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:03:14
T150_PV;2024-10-02 11:03:39.3920000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:03:14
SysReplicationTotalTags1;2024-10-02 11:03:39.3920000;0;0;0;2e+011;0;2e+011;units;0;192;Good;24848;02/10/2024 11:03:14
Q210_PV;2024-10-02 11:03:39.3920000;618.671203613281;618.67120361328125;0;2e+006;0;2e+006;µS/cm;0;192;Good;24848;02/10/2024 11:03:14
P120_PV;2024-10-02 11:03:39.3920000;0;0;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:03:14
P120_Flow;2024-10-02 11:03:39.3920000;0;0;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:03:14
P100_PV;2024-10-02 11:03:39.3920000;153.117462158203;153.11746215820312;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:03:14
P100_Flow;2024-10-02 11:03:39.3920000;271.440887451172;271.44088745117187;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:03:14
T400_PV;2024-10-02 11:04:04.2400000;24.8700008392334;24.870000839233398;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:03:39
T200_PV;2024-10-02 11:04:04.2400000;23.6000003814697;23.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:03:39
T151_PV;2024-10-02 11:04:04.2400000;26.1000003814697;26.100000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:03:39
T150_PV;2024-10-02 11:04:04.2400000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:03:39
SysReplicationTotalTags1;2024-10-02 11:04:04.2400000;0;0;0;2e+011;0;2e+011;units;0;192;Good;24848;02/10/2024 11:03:39
Q210_PV;2024-10-02 11:04:04.2400000;580.278930664063;580.2789306640625;0;2e+006;0;2e+006;µS/cm;0;192;Good;24848;02/10/2024 11:03:39
P120_PV;2024-10-02 11:04:04.2400000;0;0;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:03:39
P120_Flow;2024-10-02 11:04:04.2400000;0;0;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:03:39
P100_PV;2024-10-02 11:04:04.2400000;153.117462158203;153.11746215820312;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:03:39
P100_Flow;2024-10-02 11:04:04.2400000;272.6142578125;272.6142578125;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:03:39
T400_PV;2024-10-02 11:04:29.0880000;24.8700008392334;24.870000839233398;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:04:04
T200_PV;2024-10-02 11:04:29.0880000;23.6000003814697;23.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:04:04
T151_PV;2024-10-02 11:04:29.0880000;26.1000003814697;26.100000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:04:04
T150_PV;2024-10-02 11:04:29.0880000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:04:04
SysReplicationTotalTags1;2024-10-02 11:04:29.0880000;0;0;0;2e+011;0;2e+011;units;0;192;Good;24848;02/10/2024 11:04:04
Q210_PV;2024-10-02 11:04:29.0880000;529.496154785156;529.49615478515625;0;2e+006;0;2e+006;µS/cm;0;192;Good;24848;02/10/2024 11:04:04
P120_PV;2024-10-02 11:04:29.0880000;0;0;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:04:04
P120_Flow;2024-10-02 11:04:29.0880000;0;0;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:04:04
P100_PV;2024-10-02 11:04:29.0880000;153.117462158203;153.11746215820312;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:04:04
P100_Flow;2024-10-02 11:04:29.0880000;272.451293945313;272.4512939453125;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:04:04
T400_PV;2024-10-02 11:04:53.9360000;24.8700008392334;24.870000839233398;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:04:29
T200_PV;2024-10-02 11:04:53.9360000;23.6000003814697;23.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:04:29
T151_PV;2024-10-02 11:04:53.9360000;26.1000003814697;26.100000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:04:29
T150_PV;2024-10-02 11:04:53.9360000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:04:29
SysReplicationTotalTags1;2024-10-02 11:04:53.9360000;0;0;0;2e+011;0;2e+011;units;0;192;Good;24848;02/10/2024 11:04:29
Q210_PV;2024-10-02 11:04:53.9360000;495.98681640625;495.98681640625;0;2e+006;0;2e+006;µS/cm;0;192;Good;24848;02/10/2024 11:04:29
P120_PV;2024-10-02 11:04:53.9360000;0;0;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:04:29
P120_Flow;2024-10-02 11:04:53.9360000;0;0;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:04:29
P100_PV;2024-10-02 11:04:53.9360000;153.117462158203;153.11746215820312;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:04:29
P100_Flow;2024-10-02 11:04:53.9360000;272.255737304688;272.2557373046875;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:04:29
T400_PV;2024-10-02 11:05:18.7840000;24.8700008392334;24.870000839233398;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:04:53
T200_PV;2024-10-02 11:05:18.7840000;23.6000003814697;23.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:04:53
T151_PV;2024-10-02 11:05:18.7840000;26.1000003814697;26.100000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:04:53
T150_PV;2024-10-02 11:05:18.7840000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:04:53
SysReplicationTotalTags1;2024-10-02 11:05:18.7840000;0;0;0;2e+011;0;2e+011;units;0;192;Good;24848;02/10/2024 11:04:53
Q210_PV;2024-10-02 11:05:18.7840000;470.595428466797;470.59542846679687;0;2e+006;0;2e+006;µS/cm;0;192;Good;24848;02/10/2024 11:04:53
P120_PV;2024-10-02 11:05:18.7840000;0;0;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:04:53
P120_Flow;2024-10-02 11:05:18.7840000;0;0;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:04:53
P100_PV;2024-10-02 11:05:18.7840000;153.044219970703;153.04421997070312;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:04:53
P100_Flow;2024-10-02 11:05:18.7840000;272.6142578125;272.6142578125;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:04:53
T400_PV;2024-10-02 11:05:43.6320000;24.8700008392334;24.870000839233398;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:05:18
T200_PV;2024-10-02 11:05:43.6320000;23.6000003814697;23.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:05:18
T151_PV;2024-10-02 11:05:43.6320000;26.1000003814697;26.100000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:05:18
T150_PV;2024-10-02 11:05:43.6320000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:05:18
SysReplicationTotalTags1;2024-10-02 11:05:43.6320000;0;0;0;2e+011;0;2e+011;units;0;192;Good;24848;02/10/2024 11:05:18
Q210_PV;2024-10-02 11:05:43.6320000;434.705657958984;434.70565795898437;0;2e+006;0;2e+006;µS/cm;0;192;Good;24848;02/10/2024 11:05:18
P120_PV;2024-10-02 11:05:43.6320000;0;0;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:05:18
P120_Flow;2024-10-02 11:05:43.6320000;0;0;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:05:18
P100_PV;2024-10-02 11:05:43.6320000;151.982177734375;151.982177734375;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:05:18
P100_Flow;2024-10-02 11:05:43.6320000;270.528259277344;270.52825927734375;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:05:18
T400_PV;2024-10-02 11:06:08.4800000;24.8700008392334;24.870000839233398;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:05:43
T200_PV;2024-10-02 11:06:08.4800000;23.6000003814697;23.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:05:43
T151_PV;2024-10-02 11:06:08.4800000;26.1000003814697;26.100000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:05:43
T150_PV;2024-10-02 11:06:08.4800000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:05:43
SysReplicationTotalTags1;2024-10-02 11:06:08.4800000;0;0;0;2e+011;0;2e+011;units;0;192;Good;24848;02/10/2024 11:05:43
Q210_PV;2024-10-02 11:06:08.4800000;407.422088623047;407.42208862304688;0;2e+006;0;2e+006;µS/cm;0;192;Good;24848;02/10/2024 11:05:43
P120_PV;2024-10-02 11:06:08.4800000;0;0;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:05:43
P120_Flow;2024-10-02 11:06:08.4800000;0;0;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:05:43
P100_PV;2024-10-02 11:06:08.4800000;151.982177734375;151.982177734375;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:05:43
P100_Flow;2024-10-02 11:06:08.4800000;272.22314453125;272.22314453125;0;2000;0;2000;ml/min;0;192;Good;24848;02/10/2024 11:05:43
T400_PV;2024-10-02 11:06:33.3280000;24.8700008392334;24.870000839233398;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:06:08
T200_PV;2024-10-02 11:06:33.3280000;23.6000003814697;23.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:06:08
T151_PV;2024-10-02 11:06:33.3280000;25.8999996185303;25.899999618530273;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:06:08
T150_PV;2024-10-02 11:06:33.3280000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;24848;02/10/2024 11:06:08
SysReplicationTotalTags1;2024-10-02 11:06:33.3280000;0;0;0;2e+011;0;2e+011;units;0;192;Good;24848;02/10/2024 11:06:08
Q210_PV;2024-10-02 11:06:33.3280000;386.242248535156;386.24224853515625;0;2e+006;0;2e+006;µS/cm;0;192;Good;24848;02/10/2024 11:06:08
P120_PV;2024-10-02 11:06:33.3280000;0;0;0;300;0;300;rpm;0;192;Good;24848;02/10/2024 11:06:08
