TagName;DateTime;Value;vValue;MinRaw;MaxRaw;MinEU;MaxEU;Unit;Quality;QualityDetail;QualityString;wwResolution;StartDateTime
T400_PV;2024-10-07 15:06:30.0000000;24.9200000762939;24.920000076293945;0;150;0;150;°C;0;192;Good;23333;07/10/2024 15:06:06
T200_PV;2024-10-07 15:06:30.0000000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;23333;07/10/2024 15:06:06
T151_PV;2024-10-07 15:06:30.0000000;26.1000003814697;26.100000381469727;0;150;0;150;°C;0;192;Good;23333;07/10/2024 15:06:06
T150_PV;2024-10-07 15:06:30.0000000;25.1000003814697;25.100000381469727;0;150;0;150;°C;0;192;Good;23333;07/10/2024 15:06:06
P120_PV;2024-10-07 15:06:30.0000000;0;0;0;300;0;300;rpm;0;192;Good;23333;07/10/2024 15:06:06
P120_Flow;2024-10-07 15:06:30.0000000;0;0;0;2000;0;2000;ml/min;0;192;Good;23333;07/10/2024 15:06:06
P100_PV;2024-10-07 15:06:30.0000000;101.663261413574;101.66326141357422;0;300;0;300;rpm;0;192;Good;23333;07/10/2024 15:06:06
P100_Flow;2024-10-07 15:06:30.0000000;175.940795898438;175.9407958984375;0;2000;0;2000;ml/min;0;192;Good;23333;07/10/2024 15:06:06
T400_PV;2024-10-07 15:06:53.3330000;24.9200000762939;24.920000076293945;0;150;0;150;°C;0;192;Good;23333;07/10/2024 15:06:30
T200_PV;2024-10-07 15:06:53.3330000;24.6000003814697;24.600000381469727;0;150;0;150;°C;0;192;Good;23333;07/10/2024 15:06:30
T151_PV;2024-10-07 15:06:53.3330000;26.1000003814697;26.100000381469727;0;150;0;150;°C;0;192;Good;23333;07/10/2024 15:06:30
T150_PV;2024-10-07 15:06:53.3330000;25.1000003814697;25.100000381469727;0;150;0;150;°C;0;192;Good;23333;07/10/2024 15:06:30
P120_PV;2024-10-07 15:06:53.3330000;14.3131809234619;14.313180923461914;0;300;0;300;rpm;0;192;Good;23333;07/10/2024 15:06:30
P120_Flow;2024-10-07 15:06:53.3330000;12.738730430603;12.738730430603027;0;2000;0;2000;ml/min;0;192;Good;23333;07/10/2024 15:06:30
P100_PV;2024-10-07 15:06:53.3330000;101.663261413574;101.66326141357422;0;300;0;300;rpm;0;192;Good;23333;07/10/2024 15:06:30
P100_Flow;2024-10-07 15:06:53.3330000;175.053802490234;175.05380249023437;0;2000;0;2000;ml/min;0;192;Good;23333;07/10/2024 15:06:30
T400_PV;2024-10-07 15:07:16.6660000;24.9200000762939;24.920000076293945;0;150;0;150;°C;0;192;Good;23333;07/10/2024 15:06:53
