TagName;DateTime;Value;vValue;MinRaw;MaxRaw;MinEU;MaxEU;Unit;Quality;QualityDetail;QualityString;wwResolution;StartDateTime
T400_PV;2024-10-14 16:00:00.0000000;26.8999996185303;26.899999618530273;0;150;0;150;°C;0;192;Good;47171;14/10/2024 15:59:12
T200_PV;2024-10-14 16:00:00.0000000;26.6000003814697;26.600000381469727;0;150;0;150;°C;0;192;Good;47171;14/10/2024 15:59:12
T151_PV;2024-10-14 16:00:00.0000000;28.2999992370605;28.299999237060547;0;150;0;150;°C;0;192;Good;47171;14/10/2024 15:59:12
T150_PV;2024-10-14 16:00:00.0000000;28;28;0;150;0;150;°C;0;192;Good;47171;14/10/2024 15:59:12
Q210_RangeMax;2024-10-14 16:00:00.0000000;2000;2000;0;2e+006;0;2e+006;µS/cm;0;192;Good;47171;14/10/2024 15:59:12
Q210_PV;2024-10-14 16:00:00.0000000;96.6215972900391;96.621597290039063;0;2e+006;0;2e+006;µS/cm;0;192;Good;47171;14/10/2024 15:59:12
P120_PV;2024-10-14 16:00:00.0000000;0;0;0;300;0;300;rpm;0;192;Good;47171;14/10/2024 15:59:12
P120_Flow;2024-10-14 16:00:00.0000000;0;0;0;2000;0;2000;ml/min;0;192;Good;47171;14/10/2024 15:59:12
P100_PV;2024-10-14 16:00:00.0000000;101.62663269043;101.62663269042969;0;300;0;300;rpm;0;192;Good;47171;14/10/2024 15:59:12
P100_Flow;2024-10-14 16:00:00.0000000;175.39372253418;175.39372253417969;0;2000;0;2000;ml/min;0;192;Good;47171;14/10/2024 15:59:12
T400_PV;2024-10-14 16:00:47.1710000;26.8999996185303;26.899999618530273;0;150;0;150;°C;0;192;Good;47171;14/10/2024 16:00:00
T200_PV;2024-10-14 16:00:47.1710000;26.6000003814697;26.600000381469727;0;150;0;150;°C;0;192;Good;47171;14/10/2024 16:00:00
T151_PV;2024-10-14 16:00:47.1710000;28.2999992370605;28.299999237060547;0;150;0;150;°C;0;192;Good;47171;14/10/2024 16:00:00
T150_PV;2024-10-14 16:00:47.1710000;28;28;0;150;0;150;°C;0;192;Good;47171;14/10/2024 16:00:00
Q210_RangeMax;2024-10-14 16:00:47.1710000;2000;2000;0;2e+006;0;2e+006;µS/cm;0;192;Good;47171;14/10/2024 16:00:00
Q210_PV;2024-10-14 16:00:47.1710000;196.172973632813;196.1729736328125;0;2e+006;0;2e+006;µS/cm;0;192;Good;47171;14/10/2024 16:00:00
P120_PV;2024-10-14 16:00:47.1710000;0;0;0;300;0;300;rpm;0;192;Good;47171;14/10/2024 16:00:00
P120_Flow;2024-10-14 16:00:47.1710000;0;0;0;2000;0;2000;ml/min;0;192;Good;47171;14/10/2024 16:00:00
