TagName;DateTime;Value;vValue;MinRaw;MaxRaw;MinEU;MaxEU;Unit;Quality;QualityDetail;QualityString;wwResolution;StartDateTime
T400_PV;2024-09-23 14:42:37.0000000;20;20;0;100;0;100;�C;0;192;Good;21818;23/09/2024 14:42:15
T208_PV;2024-09-23 14:42:37.0000000;23;23;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:15
T207_PV;2024-09-23 14:42:37.0000000;22.6000003814697;22.600000381469727;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:15
T206_PV;2024-09-23 14:42:37.0000000;23.2999992370605;23.299999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:15
T205_PV;2024-09-23 14:42:37.0000000;23;23;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:15
T204_PV;2024-09-23 14:42:37.0000000;21.5;21.5;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:15
T203_PV;2024-09-23 14:42:37.0000000;22.5;22.5;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:15
T202_PV;2024-09-23 14:42:37.0000000;22.5;22.5;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:15
T201_PV;2024-09-23 14:42:37.0000000;22.2999992370605;22.299999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:15
T200_PV;2024-09-23 14:42:37.0000000;21.8999996185303;21.899999618530273;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:15
QT210_PV;2024-09-23 14:42:37.0000000;76.1999969482422;76.199996948242188;0;1000;0;1000;�S/cm;0;192;Good;21818;23/09/2024 14:42:15
P120_PV;2024-09-23 14:42:37.0000000;0.0152592547237873;1.5259254723787308E-2;0;100;0;100;rpm;0;192;Good;21818;23/09/2024 14:42:15
P120_Flow;2024-09-23 14:42:37.0000000;0;0;0;1000;0;1000;ml/min;0;192;Good;21818;23/09/2024 14:42:15
P100_PV;2024-09-23 14:42:37.0000000;98.8860778808594;98.886077880859375;0;100;0;100;rpm;0;192;Good;21818;23/09/2024 14:42:15
P100_Flow;2024-09-23 14:42:37.0000000;23.4317264556885;23.431726455688477;0;1000;0;1000;ml/min;0;192;Good;21818;23/09/2024 14:42:15
T400_PV;2024-09-23 14:42:58.8180000;20;20;0;100;0;100;�C;0;192;Good;21818;23/09/2024 14:42:37
T208_PV;2024-09-23 14:42:58.8180000;23;23;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:37
T207_PV;2024-09-23 14:42:58.8180000;22.3999996185303;22.399999618530273;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:37
T206_PV;2024-09-23 14:42:58.8180000;23.2999992370605;23.299999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:37
T205_PV;2024-09-23 14:42:58.8180000;22.7999992370605;22.799999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:37
T204_PV;2024-09-23 14:42:58.8180000;21.2999992370605;21.299999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:37
T203_PV;2024-09-23 14:42:58.8180000;22.2999992370605;22.299999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:37
T202_PV;2024-09-23 14:42:58.8180000;22.2999992370605;22.299999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:37
T201_PV;2024-09-23 14:42:58.8180000;22.2999992370605;22.299999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:37
T200_PV;2024-09-23 14:42:58.8180000;21.8999996185303;21.899999618530273;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:37
QT210_PV;2024-09-23 14:42:58.8180000;76;76;0;1000;0;1000;�S/cm;0;192;Good;21818;23/09/2024 14:42:37
P120_PV;2024-09-23 14:42:58.8180000;0.0152592547237873;1.5259254723787308E-2;0;100;0;100;rpm;0;192;Good;21818;23/09/2024 14:42:37
P120_Flow;2024-09-23 14:42:58.8180000;0;0;0;1000;0;1000;ml/min;0;192;Good;21818;23/09/2024 14:42:37
P100_PV;2024-09-23 14:42:58.8180000;98.8860778808594;98.886077880859375;0;100;0;100;rpm;0;192;Good;21818;23/09/2024 14:42:37
P100_Flow;2024-09-23 14:42:58.8180000;23.4317264556885;23.431726455688477;0;1000;0;1000;ml/min;0;192;Good;21818;23/09/2024 14:42:37
T400_PV;2024-09-23 14:43:20.6360000;20;20;0;100;0;100;�C;0;192;Good;21818;23/09/2024 14:42:58
T208_PV;2024-09-23 14:43:20.6360000;22.7999992370605;22.799999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:58
T207_PV;2024-09-23 14:43:20.6360000;22.3999996185303;22.399999618530273;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:58
T206_PV;2024-09-23 14:43:20.6360000;23.2999992370605;23.299999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:58
T205_PV;2024-09-23 14:43:20.6360000;22.7999992370605;22.799999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:58
T204_PV;2024-09-23 14:43:20.6360000;21.2999992370605;21.299999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:58
T203_PV;2024-09-23 14:43:20.6360000;22.2999992370605;22.299999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:58
T202_PV;2024-09-23 14:43:20.6360000;22.2999992370605;22.299999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:58
T201_PV;2024-09-23 14:43:20.6360000;22.2999992370605;22.299999237060547;0;150;0;150;�C;0;192;Good;21818;23/09/2024 14:42:58
