TagName;DateTime;Value;vValue;MinRaw;MaxRaw;MinEU;MaxEU;Unit;Quality;QualityDetail;QualityString;wwResolution;StartDateTime
T400_PV;2024-09-18 10:20:43.0000000;25;25;0;100;0;100;°C;0;764;"First value received from IOServer, timestamp overwritten; values out of time sequence";18181;18/09/2024 10:20:24
T208_PV;2024-09-18 10:20:43.0000000;24.5;24.5;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:24
T207_PV;2024-09-18 10:20:43.0000000;24.7000007629395;24.700000762939453;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:24
T206_PV;2024-09-18 10:20:43.0000000;25.8999996185303;25.899999618530273;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:24
T205_PV;2024-09-18 10:20:43.0000000;25.7999992370605;25.799999237060547;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:24
T204_PV;2024-09-18 10:20:43.0000000;24.7000007629395;24.700000762939453;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:24
T203_PV;2024-09-18 10:20:43.0000000;25.7000007629395;25.700000762939453;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:24
T202_PV;2024-09-18 10:20:43.0000000;25.7999992370605;25.799999237060547;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:24
T201_PV;2024-09-18 10:20:43.0000000;25.7999992370605;25.799999237060547;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:24
T200_PV;2024-09-18 10:20:43.0000000;26;26;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:24
SysSpaceBuffer;2024-09-18 10:20:43.0000000;107159;107159;0;100000;0;100000;MB;0;192;Good;18181;18/09/2024 10:20:24
QT210_PV;2024-09-18 10:20:43.0000000;156.100006103516;156.10000610351562;0;1000;0;1000;µS/cm;0;192;Good;18181;18/09/2024 10:20:24
P120_PV;2024-09-18 10:20:43.0000000;0.0610370188951492;6.1037018895149231E-2;0;100;0;100;rpm;0;192;Good;18181;18/09/2024 10:20:24
P100_PV;2024-09-18 10:20:43.0000000;98.7426376342773;98.742637634277344;0;100;0;100;rpm;0;192;Good;18181;18/09/2024 10:20:24
T400_PV;2024-09-18 10:21:01.1810000;25;25;0;100;0;100;°C;0;192;Good;18181;18/09/2024 10:20:43
T208_PV;2024-09-18 10:21:01.1810000;24.5;24.5;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:43
T207_PV;2024-09-18 10:21:01.1810000;24.5;24.5;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:43
T206_PV;2024-09-18 10:21:01.1810000;25.8999996185303;25.899999618530273;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:43
T205_PV;2024-09-18 10:21:01.1810000;25.7999992370605;25.799999237060547;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:43
T204_PV;2024-09-18 10:21:01.1810000;24.5;24.5;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:43
T203_PV;2024-09-18 10:21:01.1810000;25.7000007629395;25.700000762939453;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:43
T202_PV;2024-09-18 10:21:01.1810000;25.7999992370605;25.799999237060547;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:43
T201_PV;2024-09-18 10:21:01.1810000;25.7999992370605;25.799999237060547;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:43
T200_PV;2024-09-18 10:21:01.1810000;26;26;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:20:43
SysSpaceBuffer;2024-09-18 10:21:01.1810000;107159;107159;0;100000;0;100000;MB;0;192;Good;18181;18/09/2024 10:20:43
QT210_PV;2024-09-18 10:21:01.1810000;167.199996948242;167.19999694824219;0;1000;0;1000;µS/cm;0;192;Good;18181;18/09/2024 10:20:43
P120_PV;2024-09-18 10:21:01.1810000;0.0610370188951492;6.1037018895149231E-2;0;100;0;100;rpm;0;192;Good;18181;18/09/2024 10:20:43
P100_PV;2024-09-18 10:21:01.1810000;98.7426376342773;98.742637634277344;0;100;0;100;rpm;0;192;Good;18181;18/09/2024 10:20:43
T400_PV;2024-09-18 10:21:19.3620000;25;25;0;100;0;100;°C;0;192;Good;18181;18/09/2024 10:21:01
T208_PV;2024-09-18 10:21:19.3620000;24.5;24.5;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:21:01
T207_PV;2024-09-18 10:21:19.3620000;24.5;24.5;0;150;0;150;°C;0;192;Good;18181;18/09/2024 10:21:01
