TagName;DateTime;Value;vValue;MinRaw;MaxRaw;MinEU;MaxEU;Unit;Quality;QualityDetail;QualityString;wwResolution;StartDateTime
T400_PV;2024-09-25 11:45:19.0000000;33;33;0;100;0;100;°C;0;192;Good;10909;25/09/2024 11:45:08
T208_PV;2024-09-25 11:45:19.0000000;31.7000007629395;31.700000762939453;0;150;0;150;°C;0;192;Good;10909;25/09/2024 11:45:08
T207_PV;2024-09-25 11:45:19.0000000;31.7000007629395;31.700000762939453;0;150;0;150;°C;0;192;Good;10909;25/09/2024 11:45:08
T206_PV;2024-09-25 11:45:19.0000000;32.9000015258789;32.900001525878906;0;150;0;150;°C;0;192;Good;10909;25/09/2024 11:45:08
T205_PV;2024-09-25 11:45:19.0000000;32.9000015258789;32.900001525878906;0;150;0;150;°C;0;192;Good;10909;25/09/2024 11:45:08
T204_PV;2024-09-25 11:45:19.0000000;31.7000007629395;31.700000762939453;0;150;0;150;°C;0;192;Good;10909;25/09/2024 11:45:08
T203_PV;2024-09-25 11:45:19.0000000;32.9000015258789;32.900001525878906;0;150;0;150;°C;0;192;Good;10909;25/09/2024 11:45:08
T202_PV;2024-09-25 11:45:19.0000000;33.4000015258789;33.400001525878906;0;150;0;150;°C;0;192;Good;10909;25/09/2024 11:45:08
T201_PV;2024-09-25 11:45:19.0000000;33.4000015258789;33.400001525878906;0;150;0;150;°C;0;192;Good;10909;25/09/2024 11:45:08
T200_PV;2024-09-25 11:45:19.0000000;33.2000007629395;33.200000762939453;0;150;0;150;°C;0;192;Good;10909;25/09/2024 11:45:08
QT210_PV;2024-09-25 11:45:19.0000000;102;102;0;1000;0;1000;µS/cm;0;192;Good;10909;25/09/2024 11:45:08
P120_PV;2024-09-25 11:45:19.0000000;0.0762962698936462;0.07629626989364624;0;100;0;100;rpm;0;192;Good;10909;25/09/2024 11:45:08
P120_Flow;2024-09-25 11:45:19.0000000;0;0;0;1000;0;1000;ml/min;0;192;Good;10909;25/09/2024 11:45:08
P100_PV;2024-09-25 11:45:19.0000000;99.0020446777344;99.002044677734375;0;100;0;100;rpm;0;192;Good;10909;25/09/2024 11:45:08
