TagName;DateTime;Value;vValue;MinRaw;MaxRaw;MinEU;MaxEU;Unit;Quality;QualityDetail;QualityString;wwResolution;StartDateTime
T400_PV;2024-09-23 16:32:35.0000000;23;23;0;100;0;100;°C;0;192;Good;14494;23/09/2024 16:32:20
T208_PV;2024-09-23 16:32:35.0000000;23.2000007629395;23.200000762939453;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:20
T207_PV;2024-09-23 16:32:35.0000000;23.1000003814697;23.100000381469727;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:20
T206_PV;2024-09-23 16:32:35.0000000;24.2000007629395;24.200000762939453;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:20
T205_PV;2024-09-23 16:32:35.0000000;24.2000007629395;24.200000762939453;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:20
T204_PV;2024-09-23 16:32:35.0000000;23;23;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:20
T203_PV;2024-09-23 16:32:35.0000000;24;24;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:20
T202_PV;2024-09-23 16:32:35.0000000;24.2000007629395;24.200000762939453;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:20
T201_PV;2024-09-23 16:32:35.0000000;24;24;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:20
T200_PV;2024-09-23 16:32:35.0000000;24;24;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:20
QT210_PV;2024-09-23 16:32:35.0000000;109.199996948242;109.19999694824219;0;1000;0;1000;µS/cm;0;192;Good;14494;23/09/2024 16:32:20
P120_PV;2024-09-23 16:32:35.0000000;0.0885036736726761;8.8503673672676086E-2;0;100;0;100;rpm;0;192;Good;14494;23/09/2024 16:32:20
P120_Flow;2024-09-23 16:32:35.0000000;0;0;0;1000;0;1000;ml/min;0;192;Good;14494;23/09/2024 16:32:20
P100_PV;2024-09-23 16:32:35.0000000;99.0386657714844;99.038665771484375;0;100;0;100;rpm;0;192;Good;14494;23/09/2024 16:32:20
P100_Flow;2024-09-23 16:32:35.0000000;23.4112777709961;23.411277770996094;0;1000;0;1000;ml/min;0;192;Good;14494;23/09/2024 16:32:20
T400_PV;2024-09-23 16:32:49.4940000;23;23;0;100;0;100;°C;0;192;Good;14494;23/09/2024 16:32:35
T208_PV;2024-09-23 16:32:49.4940000;23.2000007629395;23.200000762939453;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:35
T207_PV;2024-09-23 16:32:49.4940000;23.1000003814697;23.100000381469727;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:35
T206_PV;2024-09-23 16:32:49.4940000;24.2000007629395;24.200000762939453;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:35
T205_PV;2024-09-23 16:32:49.4940000;24.2000007629395;24.200000762939453;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:35
T204_PV;2024-09-23 16:32:49.4940000;23;23;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:35
T203_PV;2024-09-23 16:32:49.4940000;24;24;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:35
T202_PV;2024-09-23 16:32:49.4940000;24.2000007629395;24.200000762939453;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:35
T201_PV;2024-09-23 16:32:49.4940000;24;24;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:35
T200_PV;2024-09-23 16:32:49.4940000;24;24;0;150;0;150;°C;0;192;Good;14494;23/09/2024 16:32:35
