TagName;DateTime;Value;vValue;MinRaw;MaxRaw;MinEU;MaxEU;Unit;Quality;QualityDetail;QualityString;wwResolution;StartDateTime
T400_PV;2024-09-25 09:35:19.0000000;22;22;0;100;0;100;°C;0;192;Good;14494;25/09/2024 09:35:04
T208_PV;2024-09-25 09:35:19.0000000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:04
T207_PV;2024-09-25 09:35:19.0000000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:04
T206_PV;2024-09-25 09:35:19.0000000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:04
T205_PV;2024-09-25 09:35:19.0000000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:04
T204_PV;2024-09-25 09:35:19.0000000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:04
T203_PV;2024-09-25 09:35:19.0000000;22.6000003814697;22.600000381469727;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:04
T202_PV;2024-09-25 09:35:19.0000000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:04
T201_PV;2024-09-25 09:35:19.0000000;22.8999996185303;22.899999618530273;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:04
T200_PV;2024-09-25 09:35:19.0000000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:04
QT210_PV;2024-09-25 09:35:19.0000000;69.5;69.5;0;1000;0;1000;µS/cm;0;192;Good;14494;25/09/2024 09:35:04
P120_PV;2024-09-25 09:35:19.0000000;0.0976592302322388;0.09765923023223877;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:35:04
P120_Flow;2024-09-25 09:35:19.0000000;0;0;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:35:04
P100_PV;2024-09-25 09:35:19.0000000;98.4954376220703;98.495437622070313;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:35:04
P100_Flow;2024-09-25 09:35:19.0000000;23.2440509796143;23.244050979614258;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:35:04
T400_PV;2024-09-25 09:35:33.4940000;22;22;0;100;0;100;°C;0;192;Good;14494;25/09/2024 09:35:19
T208_PV;2024-09-25 09:35:33.4940000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:19
T207_PV;2024-09-25 09:35:33.4940000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:19
T206_PV;2024-09-25 09:35:33.4940000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:19
T205_PV;2024-09-25 09:35:33.4940000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:19
T204_PV;2024-09-25 09:35:33.4940000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:19
T203_PV;2024-09-25 09:35:33.4940000;22.8999996185303;22.899999618530273;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:19
T202_PV;2024-09-25 09:35:33.4940000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:19
T201_PV;2024-09-25 09:35:33.4940000;23.1000003814697;23.100000381469727;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:19
T200_PV;2024-09-25 09:35:33.4940000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:19
QT210_PV;2024-09-25 09:35:33.4940000;69;69;0;1000;0;1000;µS/cm;0;192;Good;14494;25/09/2024 09:35:19
P120_PV;2024-09-25 09:35:33.4940000;0.0976592302322388;0.09765923023223877;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:35:19
P120_Flow;2024-09-25 09:35:33.4940000;0;0;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:35:19
P100_PV;2024-09-25 09:35:33.4940000;98.4954376220703;98.495437622070313;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:35:19
P100_Flow;2024-09-25 09:35:33.4940000;23.2440509796143;23.244050979614258;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:35:19
T400_PV;2024-09-25 09:35:47.9880000;22;22;0;100;0;100;°C;0;192;Good;14494;25/09/2024 09:35:33
T208_PV;2024-09-25 09:35:47.9880000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:33
T207_PV;2024-09-25 09:35:47.9880000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:33
T206_PV;2024-09-25 09:35:47.9880000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:33
T205_PV;2024-09-25 09:35:47.9880000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:33
T204_PV;2024-09-25 09:35:47.9880000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:33
T203_PV;2024-09-25 09:35:47.9880000;22.8999996185303;22.899999618530273;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:33
T202_PV;2024-09-25 09:35:47.9880000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:33
T201_PV;2024-09-25 09:35:47.9880000;23.1000003814697;23.100000381469727;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:33
T200_PV;2024-09-25 09:35:47.9880000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:33
QT210_PV;2024-09-25 09:35:47.9880000;68.5;68.5;0;1000;0;1000;µS/cm;0;192;Good;14494;25/09/2024 09:35:33
P120_PV;2024-09-25 09:35:47.9880000;0.0976592302322388;0.09765923023223877;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:35:33
P120_Flow;2024-09-25 09:35:47.9880000;0;0;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:35:33
P100_PV;2024-09-25 09:35:47.9880000;98.4954376220703;98.495437622070313;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:35:33
P100_Flow;2024-09-25 09:35:47.9880000;23.2440509796143;23.244050979614258;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:35:33
T400_PV;2024-09-25 09:36:02.4820000;22;22;0;100;0;100;°C;0;192;Good;14494;25/09/2024 09:35:47
T208_PV;2024-09-25 09:36:02.4820000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:47
T207_PV;2024-09-25 09:36:02.4820000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:47
T206_PV;2024-09-25 09:36:02.4820000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:47
T205_PV;2024-09-25 09:36:02.4820000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:47
T204_PV;2024-09-25 09:36:02.4820000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:47
T203_PV;2024-09-25 09:36:02.4820000;22.8999996185303;22.899999618530273;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:47
T202_PV;2024-09-25 09:36:02.4820000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:47
T201_PV;2024-09-25 09:36:02.4820000;23.1000003814697;23.100000381469727;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:47
T200_PV;2024-09-25 09:36:02.4820000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:35:47
QT210_PV;2024-09-25 09:36:02.4820000;68;68;0;1000;0;1000;µS/cm;0;192;Good;14494;25/09/2024 09:35:47
P120_PV;2024-09-25 09:36:02.4820000;0.0976592302322388;0.09765923023223877;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:35:47
P120_Flow;2024-09-25 09:36:02.4820000;0;0;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:35:47
P100_PV;2024-09-25 09:36:02.4820000;98.4954376220703;98.495437622070313;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:35:47
P100_Flow;2024-09-25 09:36:02.4820000;23.2440509796143;23.244050979614258;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:35:47
T400_PV;2024-09-25 09:36:16.9760000;22;22;0;100;0;100;°C;0;192;Good;14494;25/09/2024 09:36:02
T208_PV;2024-09-25 09:36:16.9760000;22;22;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:02
T207_PV;2024-09-25 09:36:16.9760000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:02
T206_PV;2024-09-25 09:36:16.9760000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:02
T205_PV;2024-09-25 09:36:16.9760000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:02
T204_PV;2024-09-25 09:36:16.9760000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:02
T203_PV;2024-09-25 09:36:16.9760000;22.8999996185303;22.899999618530273;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:02
T202_PV;2024-09-25 09:36:16.9760000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:02
T201_PV;2024-09-25 09:36:16.9760000;23.1000003814697;23.100000381469727;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:02
T200_PV;2024-09-25 09:36:16.9760000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:02
QT210_PV;2024-09-25 09:36:16.9760000;67.5;67.5;0;1000;0;1000;µS/cm;0;192;Good;14494;25/09/2024 09:36:02
P120_PV;2024-09-25 09:36:16.9760000;0.0976592302322388;0.09765923023223877;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:36:02
P120_Flow;2024-09-25 09:36:16.9760000;0;0;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:36:02
P100_PV;2024-09-25 09:36:16.9760000;98.4954376220703;98.495437622070313;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:36:02
P100_Flow;2024-09-25 09:36:16.9760000;23.2440509796143;23.244050979614258;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:36:02
T400_PV;2024-09-25 09:36:31.4700000;22;22;0;100;0;100;°C;0;192;Good;14494;25/09/2024 09:36:16
T208_PV;2024-09-25 09:36:31.4700000;22;22;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:16
T207_PV;2024-09-25 09:36:31.4700000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:16
T206_PV;2024-09-25 09:36:31.4700000;22.7000007629395;22.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:16
T205_PV;2024-09-25 09:36:31.4700000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:16
T204_PV;2024-09-25 09:36:31.4700000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:16
T203_PV;2024-09-25 09:36:31.4700000;22.8999996185303;22.899999618530273;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:16
T202_PV;2024-09-25 09:36:31.4700000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:16
T201_PV;2024-09-25 09:36:31.4700000;23.1000003814697;23.100000381469727;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:16
T200_PV;2024-09-25 09:36:31.4700000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:16
QT210_PV;2024-09-25 09:36:31.4700000;67;67;0;1000;0;1000;µS/cm;0;192;Good;14494;25/09/2024 09:36:16
P120_PV;2024-09-25 09:36:31.4700000;0.0976592302322388;0.09765923023223877;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:36:16
P120_Flow;2024-09-25 09:36:31.4700000;0;0;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:36:16
P100_PV;2024-09-25 09:36:31.4700000;98.4954376220703;98.495437622070313;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:36:16
P100_Flow;2024-09-25 09:36:31.4700000;23.2440509796143;23.244050979614258;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:36:16
T400_PV;2024-09-25 09:36:45.9640000;22;22;0;100;0;100;°C;0;192;Good;14494;25/09/2024 09:36:31
T208_PV;2024-09-25 09:36:45.9640000;22;22;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:31
T207_PV;2024-09-25 09:36:45.9640000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:31
T206_PV;2024-09-25 09:36:45.9640000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:31
T205_PV;2024-09-25 09:36:45.9640000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:31
T204_PV;2024-09-25 09:36:45.9640000;21.7000007629395;21.700000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:31
T203_PV;2024-09-25 09:36:45.9640000;22.8999996185303;22.899999618530273;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:31
T202_PV;2024-09-25 09:36:45.9640000;23.2000007629395;23.200000762939453;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:31
T201_PV;2024-09-25 09:36:45.9640000;23.1000003814697;23.100000381469727;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:31
T200_PV;2024-09-25 09:36:45.9640000;23;23;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:31
QT210_PV;2024-09-25 09:36:45.9640000;66.6999969482422;66.699996948242187;0;1000;0;1000;µS/cm;0;192;Good;14494;25/09/2024 09:36:31
P120_PV;2024-09-25 09:36:45.9640000;0.0976592302322388;0.09765923023223877;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:36:31
P120_Flow;2024-09-25 09:36:45.9640000;0;0;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:36:31
P100_PV;2024-09-25 09:36:45.9640000;98.4954376220703;98.495437622070313;0;100;0;100;rpm;0;192;Good;14494;25/09/2024 09:36:31
P100_Flow;2024-09-25 09:36:45.9640000;23.2440509796143;23.244050979614258;0;1000;0;1000;ml/min;0;192;Good;14494;25/09/2024 09:36:31
T400_PV;2024-09-25 09:37:00.4580000;22;22;0;100;0;100;°C;0;192;Good;14494;25/09/2024 09:36:45
T208_PV;2024-09-25 09:37:00.4580000;22;22;0;150;0;150;°C;0;192;Good;14494;25/09/2024 09:36:45
